"npc_petri_tower_of_necro"
{
  "BaseClass"         "npc_dota_base_additive"  
  "Model"           "models/items/pugna/ward/draining_wight/draining_wight.vmdl"  
  "ModelScale"                "0.6"
  "SoundSet"          "Creep_Good_Range"          
  "Level"           "0"

  "AbilityLayout"     "4"
  "Ability1"        "petri_upgrade_tower_of_necro"
  "Ability2"        "petri_empty1"
  "Ability3"        "petri_empty2"
  "Ability4"        "petri_empty3"
  "Ability5"        "petri_building"

  "ArmorPhysical"       "0"     
  "MagicalResistance"       "0"     

  "AttackCapabilities"        "DOTA_UNIT_CAP_NO_ATTACK"
  "AttackDamageMin"            "300"
  "AttackDamageMax"            "300"
  "AttackRate"                 "0.8"
  "AttackAnimationPoint"       "0.75"
  "AttackAcquisitionRange"     "600"
  "AttackRange"                "700"
  "AttackRangeBuffer"          "250"

  "ProjectileModel"            "particles/units/heroes/hero_pugna/pugna_base_attack.vpcf"
  "ProjectileSpeed"            "1100"

  "BountyXP"          "0"     
  "BountyGoldMin"       "14"     
  "BountyGoldMax"       "14"     

  "BoundsHullName"      "DOTA_HULL_SIZE_REGULAR"      
  "RingRadius"                "70"

  "MovementCapabilities"    "DOTA_UNIT_CAP_MOVE_NONE"     
  "MovementSpeed"       "0"   
  "MovementTurnRate"      "0.0"   
  "FollowRange"       "0"   

  "StatusHealth"        "250"     
  "StatusHealthRegen"     "0"     
  "StatusMana"        "0"     
  "StatusManaRegen"     "0"     

  "TeamName"          "DOTA_TEAM_GOODGUYS"      
  "CombatClassAttack"     "DOTA_COMBAT_CLASS_ATTACK_PIERCE"
  "CombatClassDefend"     "DOTA_COMBAT_CLASS_DEFEND_BASIC"
  "UnitRelationshipClass"   "DOTA_NPC_UNIT_RELATIONSHIP_TYPE_BUILDING"

  "VisionDaytimeRange"    "500"   
  "VisionNighttimeRange"    "500"   
}
